Individual,ID,Trial Type,Trial Order,Audio File (if applicable),Location,Day of Trial,Conditions,Subject,Playback,Track,Start Time,End Time,Response,R1,R2,R3,R4,Visual ID,
SI111,SI111_SI,Con,3,Notes,Tres Cruces,8/12/2023,100,S. simonsi,S. simonsi,2SI,2:22 PM,2:51 PM,Y,Y,N,Y,NF,N,
SCHU112,SCHU112_SCHU,Con,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,2SC,8:33 AM,8:56 AM,N,N,N,N,NA,N,"Upon return past point a few hours later, heard responding strongly..."
SCHU112,SCHU112_AT,Hetero,1,230810_0092 + Notes,Tres Cruces,8/10/2023,30,S. schulenbergi,S. atratus,5A,8:25 AM,8:56 AM,Y,Y,Y,Y,Y,Y,
SCHU112,SCHU112_SI,Hetero,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. simonsi,1SI,8:33 AM,9:05 AM,Y,Y,N,N,N,N,
SCHU112,SCHU112_PA,Hetero,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,1P,8:11 AM,8:34 AM,N,N,N,N,NF,N,
SCHU113,SCHU113_SI,Hetero,1,230810_0093,Tres Cruces,8/10/2023,100,S. schulenbergi,S. simonsi,4SI,9:13 AM,9:44 AM,Y,Y,Y,Y,Y,N,
SCHU113,SCHU113_AT,Hetero,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. atratus,6A,9:13 AM,9:48 AM,Y,Y,Y,N,N,N,
SCHU113,SCHU113_SCHU,Con,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,1SC,9:12 AM,9:42 AM,Y,N,Y,N,Y,N,
SCHU113,SCHU113_PA,Hetero,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,4P,8:55 AM,9:19 AM,N,N,N,N,NF,N,
SI114,SI114_SI,Con,1,Notes,Tres Cruces,8/10/2023,0,S. simonsi,S. simonsi,6SI,6:55 AM,7:25 AM,Y,Y,N,N,N,N,
SI114,SI114_PA,Hetero,2,Notes,Tres Cruces,8/11/2023,80,S. simonsi,S. parvirostris,5P,7:00 AM,7:29 AM,N,N,N,N,N,N,
SI114,SI114_AT,Hetero,3,Notes,Tres Cruces,8/12/2023,50,S. simonsi,S. atratus,1A,6:54 AM,7:24 AM,Y,N,N,Y,N,N,
SI114,SI114_SCHU,Hetero,4,Notes,Tres Cruces,8/13/2023,50,S. simonsi,S. schulenbergi,2SC,6:54 AM,7:23 AM,Y,N,N,N,Y,N,
SCHU114,SCHU114_SI,Hetero,1,Notes,Tres Cruces,8/10/2023,0,S. schulenbergi,S. simonsi,6SI,6:55 AM,7:25 AM,Y,N,N,N,Y,N,
SCHU114,SCHU114_PA,Hetero,2,Notes,Tres Cruces,8/11/2023,80,S. schulenbergi,S. parvirostris,5P,7:00 AM,7:29 AM,Y,Y,Y,N,Y,N,
SCHU114,SCHU114_AT,Hetero,3,Notes,Tres Cruces,8/12/2023,50,S. schulenbergi,S. atratus,1A,6:54 AM,7:24 AM,Y,Y,Y,Y,Y,N,
SCHU114,SCHU114_SCHU,Con,4,Notes,Tres Cruces,8/13/2023,50,S. schulenbergi,S. schulenbergi,2SC,6:54 AM,7:23 AM,Y,Y,N,N,N,N,
SCHU115,SCHU115_SCHU,Con,1,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. schulenbergi,4SC,10:08 AM,10:38 AM,Y,N,Y,Y,Y,N,
SCHU115,SCHU115_SI,Hetero,2,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. simonsi,6SI,9:55 AM,10:25 AM,Y,Y,N,N,N,N,
SCHU115,SCHU115_PA,Hetero,3,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,3P,9:35 AM,10:06 AM,Y,Y,N,N,N,N,
SI116,SI116_SCHU,Hetero,1,Notes,Tres Cruces,8/6/2023,40,S. simonsi,S. schulenbergi,1SC,7:25 AM,7:55 AM,Y,N,N,Y,N,N,
SI116,SI116_AT,Hetero,2,Notes,Tres Cruces,8/8/2023,30,S. simonsi,S. atratus,5A,7:28 AM,7:58 AM,Y,N,N,Y,N,N,
SI116,SI116_PA,Hetero,3,Notes,Tres Cruces,8/9/2023,40,S. simonsi,S. parvirostris,3P,7:32 AM,8:02 AM,Y,Y,N,Y,N,N,
SCHU116,SCHU116_SCHU,Con,1,Notes,Tres Cruces,8/6/2023,40,S. schulenbergi,S. schulenbergi,1SC,7:25 AM,7:55 AM,Y,Y,N,N,N,N,
SCHU116,SCHU116_AT,Hetero,2,Notes,Tres Cruces,8/8/2023,30,S. schulenbergi,S. atratus,5A,7:28 AM,7:58 AM,Y,N,Y,N,Y,N,
SCHU116,SCHU116_PA,Hetero,3,Notes,Tres Cruces,8/9/2023,40,S. schulenbergi,S. parvirostris,3P,7:32 AM,8:02 AM,N,N,N,N,N,N,
